Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median
get 10000,5010.185564465223,199.5934056998821,114.64168157482437,2877.7308353356243,0.5743760981122038,200.0
delete 10000,1912.7743341050657,522.8008250475989,447.49995277971016,1637.270607046816,0.8559664241902585,512.0
put 10000,1898.431967627719,526.7505062346797,451.0329439205765,1625.5425463427664,0.8562553591920625,522.0
pop 10000,1175.7123343799933,850.5481917286728,871.7532065389972,1205.0240156058842,1.0249309974632088,826.0
get 100000,473.96847409351244,2109.8449678800857,1231.7648469020141,276.7111867535844,0.5838177049281766,2085.0
put 100000,183.9293597696807,5436.869900771775,1480.4409764418149,50.08333212738655,0.27229656097374394,5318.0
delete 100000,163.01118147219776,6134.548507462687,3138.0187084072154,83.38545803607889,0.5115321371393202,5413.5
pop 100000,116.45432551605728,8587.057591623037,2710.341902242169,36.75659965893651,0.31563103814351945,8467.0
get 1000000,50.22304522046392,19911.178137651823,11357.985526281964,28.648863304635494,0.5704326206998337,20022.0
put 1000000,18.47519917685882,54126.61538461538,5913.309197501668,2.0184074773913707,0.1092495652181945,52856.0
delete 1000000,17.67051437039348,56591.44827586207,6368.345297919352,1.9884972116981472,0.11253193710251164,54656.0
pop 1000000,11.760385245461936,85031.22807017544,8934.615011522565,1.2357167706513157,0.1050745145553927,83726.0
get 10000000,4.9631927557238535,201483.20833333334,134005.27008075066,3.3009896516699806,0.6650939856936001,213467.0
put 10000000,1.4650220747433333,682583.5714285715,48831.13294919585,0.10480575668643173,0.07153868770529845,665975.0
delete 10000000,1.43890807432988,694971.4285714285,58108.42725913869,0.1203109678072061,0.08361268516978516,680617.0
pop 10000000,0.9515046618970909,1050967.0,47094.35689124547,0.04263739977664899,0.04481050013106546,1048812.0
