Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median
get 100000,317940.45144069486,3.145243065072923,120.74995291877481,12206145.518215397,38.39129454243792,2.6
pop 100000,273695.48628237296,3.6536956220326378,124.3773754580424,9317012.083118211,34.041526258514196,3.2
pop 10000000,223323.95648249084,4.47779994475605,135.12268922344623,6739053.539735132,30.176133567934038,3.9
get 1000000,214696.42742973522,4.657739357713695,146.35238086572215,6746048.008390493,31.421333317706488,3.6
pop 1000000,204259.4104264948,4.895735270712836,149.40440114624826,6233436.492331575,30.517254893256197,4.2
get 10000000,202040.4707868659,4.9495034143674514,142.8448970746573,5830978.956533064,28.86045025446516,4.4
put 100000,136230.4188282603,7.340504482047112,713.909020370826,13249242.621982293,97.25612485039065,6.0
delete 100000,128737.38340350949,7.767751476396244,1137.3119015908726,18849027.130873904,146.4145583244786,6.0
delete 1000000,117401.0378669125,8.51781226272986,588.7272061148715,8114429.25559648,69.11718501837363,7.0
put 1000000,116082.51763233915,8.614561610105984,619.8944692033257,8353171.514504877,71.95891065148459,7.0
delete 10000000,102838.09602191561,9.724022893100743,624.9575401202899,6609347.204037346,64.26944352051055,9.0
at_most 100000,98273.55604257845,10.175677367029799,725.0964260759295,7002757.820833484,71.25780426424619,8.0
put 10000000,94901.61661454954,10.53722829676948,659.5372263356307,5940001.225551571,62.591148996727405,9.0
at_most 1000000,94452.22695867713,10.587362862682955,654.2975853936045,5837134.7837652555,61.79986403411116,9.0
at_most 10000000,94281.16563028305,10.60657230227116,197.89849450877063,1759107.4860980157,18.658100738765064,9.3
