Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median
get 100000,333763.54767312325,2.9961330617787123,113.32149460283203,12623799.840120519,37.82258406626191,2.6
get 1000000,252034.7956769932,3.9677061149984865,133.6946166650938,8492487.703896815,33.69569539430085,3.4
pop 100000,248466.4138208905,4.024688828651344,131.8257268120299,8138334.908563177,32.75426559031748,3.6
pop 1000000,201463.80871161114,4.963670678099148,143.14933419542407,5810097.396023369,28.839410081541413,4.4
get 10000000,200019.97674742245,4.9995006311932615,141.694402653926,5668908.400020284,28.34171112407819,4.4
pop 10000000,185420.49488892304,5.3931470768593,147.8920221133122,5084640.107078858,27.422211930373898,4.8
delete 100000,147828.47252138334,6.764596717694897,167.55863184958093,3661701.8926350665,24.76993660409636,6.0
put 100000,138618.42859558424,7.214048017507649,175.3732176819236,3369808.43401959,24.309959852819574,6.4
delete 1000000,118533.03486196055,8.436466687658552,185.12296082860323,2600992.4749357686,21.943186369646185,7.6
put 1000000,114728.73521730362,8.716212186127002,628.2428927602331,8269361.846234364,72.07751249564166,8.0
at_most 100000,101163.16441801544,9.885020953554879,203.38822395493085,2081472.2029740803,20.57539634064082,8.7
at_most 1000000,96301.40389189753,10.38406460951019,674.5244610527229,6255513.134934817,64.95765255880278,9.0
delete 10000000,94260.45061276996,10.608903240958247,263.53833851354733,2341546.71579264,24.84124254202768,9.3
put 10000000,94042.39351071452,10.63350221818915,680.3391878947251,6016900.576680501,63.9807256287557,9.0
at_most 10000000,90928.0525911859,10.997706114921622,667.0056623290208,5514743.284563958,60.64952594287199,10.0
