Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median
pop 1000000,381788.1713456515,2.6192534893771002,24.723656415220518,3603774.743463267,9.439199571745228,2.5
pop 100000,349048.5437551123,2.864931018596618,31.611158396355446,3851341.8763098046,11.03382880466006,2.8
pop 10000,348747.781189671,2.8674017554713473,28.45515391138986,3460858.5180197516,9.923671790007802,2.8
get 10000,205743.31278557234,4.86042528654241,36.34123867325439,1538335.926296164,7.4769668353665155,4.7
get 100000,155754.03521863822,6.420379405235053,40.03916658214556,971322.9341050305,6.236261761960423,6.2
get 1000000,123003.25837784384,8.129865933536331,137.95583135916613,2087244.3541046898,16.96901676940176,8.0
delete 10000,122990.01952849279,8.13074104576699,46.46914672809603,702917.6346154062,5.715241263560927,7.9
put 10000,110662.24443382071,9.03650567649592,50.42077982464258,617459.5425764265,5.579676661498453,8.7
delete 100000,98591.9354392947,10.142817417513045,161.30844712853008,1567977.7472528347,15.90371200510892,10.0
put 100000,84903.8377096689,11.7780306164667,56.02826669109562,403888.8178507631,4.757014862294829,11.0
put 1000000,69898.3933021419,14.306480489149626,186.1259470275387,909371.431983677,13.009904649064529,14.0
delete 1000000,60515.26760446506,16.524755480486647,228.14384935125497,835485.0461846212,13.806186095803957,14.0
at_most 10000,50331.55657490011,19.86825101488498,234.63104733013338,594382.7579024092,11.809345832924675,18.0
at_most 100000,50164.045866448956,19.93459623775734,221.5129803549038,557422.2409125307,11.1119873065372,19.0
at_most 1000000,43510.495851213,22.982960327999148,225.927003165296,427716.6993985929,9.830195933900598,18.0
