Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median
get 10000,230083.93970404624,4.34623990395108,35.79820591393183,1895107.594849148,8.236592251014123,4.2
pop 10000,188772.60689085396,5.297378769464089,37.41483479417261,1333281.2713335792,7.06289590048659,5.1
get 100000,173329.69212446472,5.769351965858909,36.85720167804975,1107307.624362382,6.388447419425668,5.6
get 1000000,138334.865005838,7.228835622587249,39.05769706514627,747428.9820705785,5.4030412509459245,7.0
pop 100000,135473.9983178677,7.381490266889906,48.63265335018563,892565.018707591,6.588459998156491,7.1
delete 10000,109628.56841640138,9.121709919641635,47.96367181541965,576447.6971358387,5.2581886771185555,8.8
pop 1000000,105196.56634159338,9.506013692051589,149.3668340533025,1652940.8200684858,15.712878067722007,9.0
put 10000,101768.04806955079,9.826266878151927,50.79558361600801,526076.4295592811,5.169367395154789,9.5
delete 100000,86567.85719614815,11.551631660861938,168.08190211669702,1259604.7490843798,14.55049009969518,11.0
put 100000,82930.34120935932,12.058312861338406,175.9967940751644,1210407.6542252458,14.595474184406733,12.0
delete 1000000,70642.21708771565,14.155841099357222,174.21951146558814,869411.6063811058,12.30725254986784,14.0
put 1000000,67450.7728489921,14.825627013033444,183.94326963897046,836869.542624525,12.407115697519101,14.0
at_most 10000,49276.686026557916,20.29357249107712,231.90999039064494,563121.9337022371,11.427755782901873,19.0
at_most 100000,46250.17848737896,21.62153818007181,223.63574962112483,478374.5379257501,10.343193336135815,21.0
at_most 1000000,42851.345136157266,23.336490297388973,222.4959755249617,408555.51615201036,9.534251838626131,22.0
