Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median
get 100000,176963.79295269249,5.650873454477373,35.83896699540058,1122339.6853786055,6.3421995350124485,5.5
get 1000000,134024.372581881,7.461329463706751,39.24449961986837,704930.5977476196,5.259719438842726,7.1
pop 1000000,100647.72964667801,9.935643888942964,45.77408047210897,463689.8551999375,4.607057276182107,9.6
pop 100000,94325.99620957073,10.60153128707201,158.95526086147615,1414287.5144645208,14.993613333510927,10.0
delete 100000,89088.70102077417,11.224767995739603,161.89002127376784,1284888.1784442768,14.422571703505474,11.0
put 100000,83581.60790974706,11.964354658979738,200.50239753304413,1400686.7276366914,16.75831277557113,11.0
delete 1000000,69642.81211672952,14.358983642473866,173.59317904775358,841947.9716800919,12.08951715316849,14.0
put 1000000,67400.00677580021,14.836793760665426,181.3864517148502,823995.2830665319,12.225448074619262,14.0
at_most 1000000,42473.12399195048,23.544300630900622,219.12063539639922,395286.23348325945,9.306737916386236,22.0
at_most 100000,41552.537424265436,24.065919002482623,230.4042466222569,397819.05189215415,9.573881080481014,23.0
